json_path,object_index,source_folder_class,json_class,json_details
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/냉장고/20_X018_C802_0217/20_X018_C802_0217_5.Json,2,전자제품,가구류,수납장
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X026_C171_0204/20_X026_C171_0204_0.Json,1,전자제품,캔류,맥주캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X026_C171_0204/20_X026_C171_0204_3.Json,1,전자제품,캔류,맥주캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X026_C171_0204/20_X026_C171_0204_2.Json,1,전자제품,캔류,맥주캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X026_C171_0204/20_X026_C171_0204_4.Json,1,전자제품,캔류,맥주캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X026_C171_0204/20_X026_C171_0204_1.Json,1,전자제품,캔류,맥주캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X016_C171_0129/20_X016_C171_0129_1.Json,1,전자제품,캔류,음료수캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X016_C171_0129/20_X016_C171_0129_3.Json,1,전자제품,캔류,음료수캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X016_C171_0129/20_X016_C171_0129_2.Json,1,전자제품,캔류,음료수캔
/home/minsu/disk_c/trash_dataset/085.생활_폐기물_이미지/01.데이터/1.Training/라벨링데이터/전자제품/컴퓨터/20_X016_C171_0129/20_X016_C171_0129_4.Json,1,전자제품,캔류,음료수캔
